Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID
RA-TS-RFECV-MLP,"[2, 5, 8, 11, 0, 0]",RA,TS,RFECV,MLP,,,2,5,8,11,0,0
RPA-CSP-SVM,"[3, 1, 0, 1, 0, 0]",RPA,CSP,,SVM,,,3,1,0,1,0,0
RPA-CSP-LDA,"[3, 1, 0, 2, 0, 0]",RPA,CSP,,LDA,,,3,1,0,2,0,0
RPA-CSP-LR,"[3, 1, 0, 3, 0, 0]",RPA,CSP,,LR,,,3,1,0,3,0,0
RPA-CSP-MLP,"[3, 1, 0, 11, 0, 0]",RPA,CSP,,MLP,,,3,1,0,11,0,0
RPA-CSP-MIC-P-SVM,"[3, 1, 4, 1, 0, 0]",RPA,CSP,MIC-P,SVM,,,3,1,4,1,0,0
RPA-CSP-MIC-P-LDA,"[3, 1, 4, 2, 0, 0]",RPA,CSP,MIC-P,LDA,,,3,1,4,2,0,0
RPA-CSP-MIC-P-LR,"[3, 1, 4, 3, 0, 0]",RPA,CSP,MIC-P,LR,,,3,1,4,3,0,0
RPA-CSP-MIC-P-MLP,"[3, 1, 4, 11, 0, 0]",RPA,CSP,MIC-P,MLP,,,3,1,4,11,0,0
RPA-CSP-LASSO-SVM,"[3, 1, 6, 1, 0, 0]",RPA,CSP,LASSO,SVM,,,3,1,6,1,0,0
RPA-CSP-LASSO-LDA,"[3, 1, 6, 2, 0, 0]",RPA,CSP,LASSO,LDA,,,3,1,6,2,0,0
RPA-CSP-LASSO-LR,"[3, 1, 6, 3, 0, 0]",RPA,CSP,LASSO,LR,,,3,1,6,3,0,0
RPA-CSP-LASSO-MLP,"[3, 1, 6, 11, 0, 0]",RPA,CSP,LASSO,MLP,,,3,1,6,11,0,0
RPA-CSP-RFECV-SVM,"[3, 1, 8, 1, 0, 0]",RPA,CSP,RFECV,SVM,,,3,1,8,1,0,0
RPA-CSP-RFECV-LDA,"[3, 1, 8, 2, 0, 0]",RPA,CSP,RFECV,LDA,,,3,1,8,2,0,0
RPA-CSP-RFECV-LR,"[3, 1, 8, 3, 0, 0]",RPA,CSP,RFECV,LR,,,3,1,8,3,0,0
RPA-CSP-RFECV-MLP,"[3, 1, 8, 11, 0, 0]",RPA,CSP,RFECV,MLP,,,3,1,8,11,0,0
RPA-TS-SVM,"[3, 5, 0, 1, 0, 0]",RPA,TS,,SVM,,,3,5,0,1,0,0
RPA-TS-LDA,"[3, 5, 0, 2, 0, 0]",RPA,TS,,LDA,,,3,5,0,2,0,0
RPA-TS-LR,"[3, 5, 0, 3, 0, 0]",RPA,TS,,LR,,,3,5,0,3,0,0
RPA-TS-MLP,"[3, 5, 0, 11, 0, 0]",RPA,TS,,MLP,,,3,5,0,11,0,0
RPA-TS-MIC-P-SVM,"[3, 5, 4, 1, 0, 0]",RPA,TS,MIC-P,SVM,,,3,5,4,1,0,0
RPA-TS-MIC-P-LDA,"[3, 5, 4, 2, 0, 0]",RPA,TS,MIC-P,LDA,,,3,5,4,2,0,0
RPA-TS-MIC-P-LR,"[3, 5, 4, 3, 0, 0]",RPA,TS,MIC-P,LR,,,3,5,4,3,0,0
RPA-TS-MIC-P-MLP,"[3, 5, 4, 11, 0, 0]",RPA,TS,MIC-P,MLP,,,3,5,4,11,0,0
RPA-TS-LASSO-SVM,"[3, 5, 6, 1, 0, 0]",RPA,TS,LASSO,SVM,,,3,5,6,1,0,0
RPA-TS-LASSO-LDA,"[3, 5, 6, 2, 0, 0]",RPA,TS,LASSO,LDA,,,3,5,6,2,0,0
RPA-TS-LASSO-LR,"[3, 5, 6, 3, 0, 0]",RPA,TS,LASSO,LR,,,3,5,6,3,0,0
RPA-TS-LASSO-MLP,"[3, 5, 6, 11, 0, 0]",RPA,TS,LASSO,MLP,,,3,5,6,11,0,0
RPA-TS-RFECV-SVM,"[3, 5, 8, 1, 0, 0]",RPA,TS,RFECV,SVM,,,3,5,8,1,0,0
RPA-TS-RFECV-LDA,"[3, 5, 8, 2, 0, 0]",RPA,TS,RFECV,LDA,,,3,5,8,2,0,0
RPA-TS-RFECV-LR,"[3, 5, 8, 3, 0, 0]",RPA,TS,RFECV,LR,,,3,5,8,3,0,0
RPA-TS-RFECV-MLP,"[3, 5, 8, 11, 0, 0]",RPA,TS,RFECV,MLP,,,3,5,8,11,0,0
TLDummy-ABC-TSSVM,"[0, 0, 0, 0, 5, 0]",TLDummy,,,,ABC-TSSVM,,0,0,0,0,5,0
TLDummy-ABC-TSLDA,"[0, 0, 0, 0, 6, 0]",TLDummy,,,,ABC-TSLDA,,0,0,0,0,6,0
TLDummy-ABC-TSLR,"[0, 0, 0, 0, 7, 0]",TLDummy,,,,ABC-TSLR,,0,0,0,0,7,0
TLDummy-MDWM,"[0, 0, 0, 0, 8, 0]",TLDummy,,,,MDWM,,0,0,0,0,8,0
TLDummy-MEKT,"[0, 0, 0, 0, 9, 0]",TLDummy,,,,MEKT,,0,0,0,0,9,0
EA-ABC-TSSVM,"[1, 0, 0, 0, 5, 0]",EA,,,,ABC-TSSVM,,1,0,0,0,5,0
EA-ABC-TSLDA,"[1, 0, 0, 0, 6, 0]",EA,,,,ABC-TSLDA,,1,0,0,0,6,0
EA-ABC-TSLR,"[1, 0, 0, 0, 7, 0]",EA,,,,ABC-TSLR,,1,0,0,0,7,0
EA-MDWM,"[1, 0, 0, 0, 8, 0]",EA,,,,MDWM,,1,0,0,0,8,0
EA-MEKT,"[1, 0, 0, 0, 9, 0]",EA,,,,MEKT,,1,0,0,0,9,0
RA-ABC-TSSVM,"[2, 0, 0, 0, 5, 0]",RA,,,,ABC-TSSVM,,2,0,0,0,5,0
RA-ABC-TSLDA,"[2, 0, 0, 0, 6, 0]",RA,,,,ABC-TSLDA,,2,0,0,0,6,0
RA-ABC-TSLR,"[2, 0, 0, 0, 7, 0]",RA,,,,ABC-TSLR,,2,0,0,0,7,0
RA-MDWM,"[2, 0, 0, 0, 8, 0]",RA,,,,MDWM,,2,0,0,0,8,0
RA-MEKT,"[2, 0, 0, 0, 9, 0]",RA,,,,MEKT,,2,0,0,0,9,0
RPA-ABC-TSSVM,"[3, 0, 0, 0, 5, 0]",RPA,,,,ABC-TSSVM,,3,0,0,0,5,0
RPA-ABC-TSLDA,"[3, 0, 0, 0, 6, 0]",RPA,,,,ABC-TSLDA,,3,0,0,0,6,0
RPA-ABC-TSLR,"[3, 0, 0, 0, 7, 0]",RPA,,,,ABC-TSLR,,3,0,0,0,7,0
RPA-MDWM,"[3, 0, 0, 0, 8, 0]",RPA,,,,MDWM,,3,0,0,0,8,0
RPA-MEKT,"[3, 0, 0, 0, 9, 0]",RPA,,,,MEKT,,3,0,0,0,9,0
TLDummy-TRCA,"[0, 0, 0, 0, 0, 1]",TLDummy,,,,,TRCA,0,0,0,0,0,1
TLDummy-DCPM,"[0, 0, 0, 0, 0, 2]",TLDummy,,,,,DCPM,0,0,0,0,0,2
TLDummy-SBLEST,"[0, 0, 0, 0, 0, 3]",TLDummy,,,,,SBLEST,0,0,0,0,0,3
EA-TRCA,"[1, 0, 0, 0, 0, 1]",EA,,,,,TRCA,1,0,0,0,0,1
EA-DCPM,"[1, 0, 0, 0, 0, 2]",EA,,,,,DCPM,1,0,0,0,0,2
EA-SBLEST,"[1, 0, 0, 0, 0, 3]",EA,,,,,SBLEST,1,0,0,0,0,3
RA-TRCA,"[2, 0, 0, 0, 0, 1]",RA,,,,,TRCA,2,0,0,0,0,1
RA-DCPM,"[2, 0, 0, 0, 0, 2]",RA,,,,,DCPM,2,0,0,0,0,2
RA-SBLEST,"[2, 0, 0, 0, 0, 3]",RA,,,,,SBLEST,2,0,0,0,0,3
RPA-TRCA,"[3, 0, 0, 0, 0, 1]",RPA,,,,,TRCA,3,0,0,0,0,1
RPA-DCPM,"[3, 0, 0, 0, 0, 2]",RPA,,,,,DCPM,3,0,0,0,0,2
RPA-SBLEST,"[3, 0, 0, 0, 0, 3]",RPA,,,,,SBLEST,3,0,0,0,0,3
