Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID
RPA-TS-MIC-P-LR,"[3, 5, 4, 3, 0, 0]",RPA,TS,MIC-P,LR,,,3,5,4,3,0,0
RPA-TS-PCA-SVM,"[3, 5, 5, 1, 0, 0]",RPA,TS,PCA,SVM,,,3,5,5,1,0,0
RPA-TS-PCA-LDA,"[3, 5, 5, 2, 0, 0]",RPA,TS,PCA,LDA,,,3,5,5,2,0,0
RPA-TS-PCA-LR,"[3, 5, 5, 3, 0, 0]",RPA,TS,PCA,LR,,,3,5,5,3,0,0
TLDUMMY-ABC-TS-LDA,"[0, 0, 0, 0, 5, 0]",TLDUMMY,,,,ABC-TS-LDA,,0,0,0,0,5,0
TLDUMMY-ABC-TS-LR,"[0, 0, 0, 0, 6, 0]",TLDUMMY,,,,ABC-TS-LR,,0,0,0,0,6,0
TLDUMMY-ABC-TS-SVM,"[0, 0, 0, 0, 7, 0]",TLDUMMY,,,,ABC-TS-SVM,,0,0,0,0,7,0
TLDUMMY-ABC-TS-MIC-P-LDA,"[0, 0, 0, 0, 11, 0]",TLDUMMY,,,,ABC-TS-MIC-P-LDA,,0,0,0,0,11,0
TLDUMMY-ABC-TS-MIC-P-LR,"[0, 0, 0, 0, 12, 0]",TLDUMMY,,,,ABC-TS-MIC-P-LR,,0,0,0,0,12,0
TLDUMMY-ABC-TS-MIC-P-SVM,"[0, 0, 0, 0, 13, 0]",TLDUMMY,,,,ABC-TS-MIC-P-SVM,,0,0,0,0,13,0
TLDUMMY-ABC-TS-PCA-LDA,"[0, 0, 0, 0, 14, 0]",TLDUMMY,,,,ABC-TS-PCA-LDA,,0,0,0,0,14,0
TLDUMMY-ABC-TS-ANOVA-P-LDA,"[0, 0, 0, 0, 29, 0]",TLDUMMY,,,,ABC-TS-ANOVA-P-LDA,,0,0,0,0,29,0
TLDUMMY-ABC-TS-ANOVA-P-LR,"[0, 0, 0, 0, 30, 0]",TLDUMMY,,,,ABC-TS-ANOVA-P-LR,,0,0,0,0,30,0
TLDUMMY-ABC-TS-ANOVA-P-SVM,"[0, 0, 0, 0, 31, 0]",TLDUMMY,,,,ABC-TS-ANOVA-P-SVM,,0,0,0,0,31,0
TLDUMMY-MEKT-LDA,"[0, 0, 0, 0, 34, 0]",TLDUMMY,,,,MEKT-LDA,,0,0,0,0,34,0
TLDUMMY-MEKT-LR,"[0, 0, 0, 0, 35, 0]",TLDUMMY,,,,MEKT-LR,,0,0,0,0,35,0
TLDUMMY-MEKT-SVM,"[0, 0, 0, 0, 36, 0]",TLDUMMY,,,,MEKT-SVM,,0,0,0,0,36,0
TLDUMMY-MEKT-MIC-P-LDA,"[0, 0, 0, 0, 42, 0]",TLDUMMY,,,,MEKT-MIC-P-LDA,,0,0,0,0,42,0
TLDUMMY-MEKT-MIC-P-LR,"[0, 0, 0, 0, 43, 0]",TLDUMMY,,,,MEKT-MIC-P-LR,,0,0,0,0,43,0
TLDUMMY-MEKT-MIC-P-SVM,"[0, 0, 0, 0, 44, 0]",TLDUMMY,,,,MEKT-MIC-P-SVM,,0,0,0,0,44,0
TLDUMMY-MEKT-ANOVA-P-LDA,"[0, 0, 0, 0, 50, 0]",TLDUMMY,,,,MEKT-ANOVA-P-LDA,,0,0,0,0,50,0
TLDUMMY-MEKT-ANOVA-P-LR,"[0, 0, 0, 0, 51, 0]",TLDUMMY,,,,MEKT-ANOVA-P-LR,,0,0,0,0,51,0
TLDUMMY-MEKT-ANOVA-P-SVM,"[0, 0, 0, 0, 52, 0]",TLDUMMY,,,,MEKT-ANOVA-P-SVM,,0,0,0,0,52,0
TLDUMMY-MEKT-PCA-LDA,"[0, 0, 0, 0, 54, 0]",TLDUMMY,,,,MEKT-PCA-LDA,,0,0,0,0,54,0
EA-ABC-TS-LDA,"[1, 0, 0, 0, 5, 0]",EA,,,,ABC-TS-LDA,,1,0,0,0,5,0
EA-ABC-TS-LR,"[1, 0, 0, 0, 6, 0]",EA,,,,ABC-TS-LR,,1,0,0,0,6,0
EA-ABC-TS-SVM,"[1, 0, 0, 0, 7, 0]",EA,,,,ABC-TS-SVM,,1,0,0,0,7,0
EA-ABC-TS-MIC-P-LDA,"[1, 0, 0, 0, 11, 0]",EA,,,,ABC-TS-MIC-P-LDA,,1,0,0,0,11,0
EA-ABC-TS-MIC-P-LR,"[1, 0, 0, 0, 12, 0]",EA,,,,ABC-TS-MIC-P-LR,,1,0,0,0,12,0
EA-ABC-TS-MIC-P-SVM,"[1, 0, 0, 0, 13, 0]",EA,,,,ABC-TS-MIC-P-SVM,,1,0,0,0,13,0
EA-ABC-TS-PCA-LDA,"[1, 0, 0, 0, 14, 0]",EA,,,,ABC-TS-PCA-LDA,,1,0,0,0,14,0
EA-ABC-TS-ANOVA-P-LDA,"[1, 0, 0, 0, 29, 0]",EA,,,,ABC-TS-ANOVA-P-LDA,,1,0,0,0,29,0
EA-ABC-TS-ANOVA-P-LR,"[1, 0, 0, 0, 30, 0]",EA,,,,ABC-TS-ANOVA-P-LR,,1,0,0,0,30,0
EA-ABC-TS-ANOVA-P-SVM,"[1, 0, 0, 0, 31, 0]",EA,,,,ABC-TS-ANOVA-P-SVM,,1,0,0,0,31,0
EA-MEKT-LDA,"[1, 0, 0, 0, 34, 0]",EA,,,,MEKT-LDA,,1,0,0,0,34,0
EA-MEKT-LR,"[1, 0, 0, 0, 35, 0]",EA,,,,MEKT-LR,,1,0,0,0,35,0
EA-MEKT-SVM,"[1, 0, 0, 0, 36, 0]",EA,,,,MEKT-SVM,,1,0,0,0,36,0
EA-MEKT-MIC-P-LDA,"[1, 0, 0, 0, 42, 0]",EA,,,,MEKT-MIC-P-LDA,,1,0,0,0,42,0
EA-MEKT-MIC-P-LR,"[1, 0, 0, 0, 43, 0]",EA,,,,MEKT-MIC-P-LR,,1,0,0,0,43,0
EA-MEKT-MIC-P-SVM,"[1, 0, 0, 0, 44, 0]",EA,,,,MEKT-MIC-P-SVM,,1,0,0,0,44,0
EA-MEKT-ANOVA-P-LDA,"[1, 0, 0, 0, 50, 0]",EA,,,,MEKT-ANOVA-P-LDA,,1,0,0,0,50,0
EA-MEKT-ANOVA-P-LR,"[1, 0, 0, 0, 51, 0]",EA,,,,MEKT-ANOVA-P-LR,,1,0,0,0,51,0
EA-MEKT-ANOVA-P-SVM,"[1, 0, 0, 0, 52, 0]",EA,,,,MEKT-ANOVA-P-SVM,,1,0,0,0,52,0
EA-MEKT-PCA-LDA,"[1, 0, 0, 0, 54, 0]",EA,,,,MEKT-PCA-LDA,,1,0,0,0,54,0
RA-ABC-TS-LDA,"[2, 0, 0, 0, 5, 0]",RA,,,,ABC-TS-LDA,,2,0,0,0,5,0
RA-ABC-TS-LR,"[2, 0, 0, 0, 6, 0]",RA,,,,ABC-TS-LR,,2,0,0,0,6,0
RA-ABC-TS-SVM,"[2, 0, 0, 0, 7, 0]",RA,,,,ABC-TS-SVM,,2,0,0,0,7,0
RA-ABC-TS-MIC-P-LDA,"[2, 0, 0, 0, 11, 0]",RA,,,,ABC-TS-MIC-P-LDA,,2,0,0,0,11,0
RA-ABC-TS-MIC-P-LR,"[2, 0, 0, 0, 12, 0]",RA,,,,ABC-TS-MIC-P-LR,,2,0,0,0,12,0
RA-ABC-TS-MIC-P-SVM,"[2, 0, 0, 0, 13, 0]",RA,,,,ABC-TS-MIC-P-SVM,,2,0,0,0,13,0
RA-ABC-TS-PCA-LDA,"[2, 0, 0, 0, 14, 0]",RA,,,,ABC-TS-PCA-LDA,,2,0,0,0,14,0
RA-ABC-TS-ANOVA-P-LDA,"[2, 0, 0, 0, 29, 0]",RA,,,,ABC-TS-ANOVA-P-LDA,,2,0,0,0,29,0
RA-ABC-TS-ANOVA-P-LR,"[2, 0, 0, 0, 30, 0]",RA,,,,ABC-TS-ANOVA-P-LR,,2,0,0,0,30,0
RA-ABC-TS-ANOVA-P-SVM,"[2, 0, 0, 0, 31, 0]",RA,,,,ABC-TS-ANOVA-P-SVM,,2,0,0,0,31,0
RA-MEKT-LDA,"[2, 0, 0, 0, 34, 0]",RA,,,,MEKT-LDA,,2,0,0,0,34,0
RA-MEKT-LR,"[2, 0, 0, 0, 35, 0]",RA,,,,MEKT-LR,,2,0,0,0,35,0
RA-MEKT-SVM,"[2, 0, 0, 0, 36, 0]",RA,,,,MEKT-SVM,,2,0,0,0,36,0
RA-MEKT-MIC-P-LDA,"[2, 0, 0, 0, 42, 0]",RA,,,,MEKT-MIC-P-LDA,,2,0,0,0,42,0
RA-MEKT-MIC-P-LR,"[2, 0, 0, 0, 43, 0]",RA,,,,MEKT-MIC-P-LR,,2,0,0,0,43,0
RA-MEKT-MIC-P-SVM,"[2, 0, 0, 0, 44, 0]",RA,,,,MEKT-MIC-P-SVM,,2,0,0,0,44,0
RA-MEKT-ANOVA-P-LDA,"[2, 0, 0, 0, 50, 0]",RA,,,,MEKT-ANOVA-P-LDA,,2,0,0,0,50,0
RA-MEKT-ANOVA-P-LR,"[2, 0, 0, 0, 51, 0]",RA,,,,MEKT-ANOVA-P-LR,,2,0,0,0,51,0
RA-MEKT-ANOVA-P-SVM,"[2, 0, 0, 0, 52, 0]",RA,,,,MEKT-ANOVA-P-SVM,,2,0,0,0,52,0
RA-MEKT-PCA-LDA,"[2, 0, 0, 0, 54, 0]",RA,,,,MEKT-PCA-LDA,,2,0,0,0,54,0
RPA-ABC-TS-LDA,"[3, 0, 0, 0, 5, 0]",RPA,,,,ABC-TS-LDA,,3,0,0,0,5,0
RPA-ABC-TS-LR,"[3, 0, 0, 0, 6, 0]",RPA,,,,ABC-TS-LR,,3,0,0,0,6,0
RPA-ABC-TS-SVM,"[3, 0, 0, 0, 7, 0]",RPA,,,,ABC-TS-SVM,,3,0,0,0,7,0
RPA-ABC-TS-MIC-P-LDA,"[3, 0, 0, 0, 11, 0]",RPA,,,,ABC-TS-MIC-P-LDA,,3,0,0,0,11,0
RPA-ABC-TS-MIC-P-LR,"[3, 0, 0, 0, 12, 0]",RPA,,,,ABC-TS-MIC-P-LR,,3,0,0,0,12,0
RPA-ABC-TS-MIC-P-SVM,"[3, 0, 0, 0, 13, 0]",RPA,,,,ABC-TS-MIC-P-SVM,,3,0,0,0,13,0
RPA-ABC-TS-PCA-LDA,"[3, 0, 0, 0, 14, 0]",RPA,,,,ABC-TS-PCA-LDA,,3,0,0,0,14,0
RPA-ABC-TS-ANOVA-P-LDA,"[3, 0, 0, 0, 29, 0]",RPA,,,,ABC-TS-ANOVA-P-LDA,,3,0,0,0,29,0
RPA-ABC-TS-ANOVA-P-LR,"[3, 0, 0, 0, 30, 0]",RPA,,,,ABC-TS-ANOVA-P-LR,,3,0,0,0,30,0
RPA-ABC-TS-ANOVA-P-SVM,"[3, 0, 0, 0, 31, 0]",RPA,,,,ABC-TS-ANOVA-P-SVM,,3,0,0,0,31,0
RPA-MEKT-LDA,"[3, 0, 0, 0, 34, 0]",RPA,,,,MEKT-LDA,,3,0,0,0,34,0
RPA-MEKT-LR,"[3, 0, 0, 0, 35, 0]",RPA,,,,MEKT-LR,,3,0,0,0,35,0
RPA-MEKT-SVM,"[3, 0, 0, 0, 36, 0]",RPA,,,,MEKT-SVM,,3,0,0,0,36,0
RPA-MEKT-MIC-P-LDA,"[3, 0, 0, 0, 42, 0]",RPA,,,,MEKT-MIC-P-LDA,,3,0,0,0,42,0
RPA-MEKT-MIC-P-LR,"[3, 0, 0, 0, 43, 0]",RPA,,,,MEKT-MIC-P-LR,,3,0,0,0,43,0
RPA-MEKT-MIC-P-SVM,"[3, 0, 0, 0, 44, 0]",RPA,,,,MEKT-MIC-P-SVM,,3,0,0,0,44,0
RPA-MEKT-ANOVA-P-LDA,"[3, 0, 0, 0, 50, 0]",RPA,,,,MEKT-ANOVA-P-LDA,,3,0,0,0,50,0
RPA-MEKT-ANOVA-P-LR,"[3, 0, 0, 0, 51, 0]",RPA,,,,MEKT-ANOVA-P-LR,,3,0,0,0,51,0
RPA-MEKT-ANOVA-P-SVM,"[3, 0, 0, 0, 52, 0]",RPA,,,,MEKT-ANOVA-P-SVM,,3,0,0,0,52,0
RPA-MEKT-PCA-LDA,"[3, 0, 0, 0, 54, 0]",RPA,,,,MEKT-PCA-LDA,,3,0,0,0,54,0
TLDUMMY-TRCA,"[0, 0, 0, 0, 0, 1]",TLDUMMY,,,,,TRCA,0,0,0,0,0,1
TLDUMMY-DCPM,"[0, 0, 0, 0, 0, 2]",TLDUMMY,,,,,DCPM,0,0,0,0,0,2
TLDUMMY-SBLEST,"[0, 0, 0, 0, 0, 3]",TLDUMMY,,,,,SBLEST,0,0,0,0,0,3
EA-TRCA,"[1, 0, 0, 0, 0, 1]",EA,,,,,TRCA,1,0,0,0,0,1
EA-DCPM,"[1, 0, 0, 0, 0, 2]",EA,,,,,DCPM,1,0,0,0,0,2
EA-SBLEST,"[1, 0, 0, 0, 0, 3]",EA,,,,,SBLEST,1,0,0,0,0,3
RA-TRCA,"[2, 0, 0, 0, 0, 1]",RA,,,,,TRCA,2,0,0,0,0,1
RA-DCPM,"[2, 0, 0, 0, 0, 2]",RA,,,,,DCPM,2,0,0,0,0,2
RA-SBLEST,"[2, 0, 0, 0, 0, 3]",RA,,,,,SBLEST,2,0,0,0,0,3
RPA-TRCA,"[3, 0, 0, 0, 0, 1]",RPA,,,,,TRCA,3,0,0,0,0,1
RPA-DCPM,"[3, 0, 0, 0, 0, 2]",RPA,,,,,DCPM,3,0,0,0,0,2
RPA-SBLEST,"[3, 0, 0, 0, 0, 3]",RPA,,,,,SBLEST,3,0,0,0,0,3
